Hour;Irradiance
10:11:12;203.96
10:11:47;194.8
10:12:22;196.11
10:12:57;198.73
10:13:32;211.81
10:14:07;304.67
10:14:42;456.4
10:15:17;529.65
10:15:52;504.8
10:16:27;533.57
10:17:02;538.81
10:17:37;571.51
10:18:12;575.43
10:18:47;575.43
10:19:22;581.97
10:19:57;274.59
10:20:32;457.71
10:21:07;439.4
10:21:42;549.27
10:22:17;562.35
10:22:52;562.35
10:23:27;561.04
10:24:02;574.12
10:24:37;578.05
10:25:12;566.27
10:25:47;581.97
10:26:22;581.97
10:26:57;575.43
10:27:32;574.12
10:28:07;567.58
10:28:42;593.74
10:29:17;482.56
10:29:52;519.19
10:30:27;203.96
10:31:02;196.11
10:31:37;185.65
10:32:12;188.26
10:32:47;188.26
10:33:22;171.26
10:33:57;173.87
10:34:32;180.41
10:35:07;193.49
10:35:42;202.65
10:36:17;309.91
10:36:52;610.75
10:37:27;601.59
10:38:02;595.05
10:38:37;610.75
10:39:12;549.27
10:39:47;459.02
10:40:22;324.29
10:40:57;517.88
10:41:32;328.22
10:42:07;200.03
10:42:42;203.96
10:43:17;211.81
10:43:52;218.35
10:44:27;226.19
10:45:02;324.29
10:45:37;247.12
10:46:12;270.67
10:46:47;364.84
10:47:22;519.19
10:47:57;549.27
10:48:32;551.89
10:49:07;462.94
10:49:42;266.74
10:50:17;248.43
10:50:52;241.89
10:51:27;235.35
10:52:02;226.19
10:52:37;217.04
10:53:12;218.35
10:53:47;214.42
10:54:22;211.81
10:54:57;294.21
10:55:32;274.59
10:56:07;237.97
10:56:42;251.05
10:57:17;339.99
10:57:52;273.28
10:58:27;283.75
10:59:02;324.29
10:59:37;464.25
11:00:12;384.46
11:00:47;496.95
11:01:22;443.32
11:01:57;580.66
11:02:32;579.35
11:03:07;320.37
11:03:42;329.53
11:04:17;309.91
11:04:52;295.52
11:05:27;286.36
11:06:02;291.59
11:06:37;460.33
11:07:12;383.15
11:07:47;347.84
11:08:22;404.08
11:08:57;397.54
11:09:32;383.15
11:10:07;368.77
11:10:42;355.69
11:11:17;356.99
11:11:52;308.6
11:12:27;292.9
11:13:02;325.6
11:13:37;245.81
11:14:12;241.89
11:14:47;245.81
11:15:22;330.83
11:15:57;300.75
11:16:32;210.5
11:17:07;201.34
11:17:42;201.34
11:18:17;198.73
11:18:52;215.73
11:19:27;214.42
11:20:02;201.34
11:20:37;190.88
11:21:12;188.26
11:21:47;192.19
11:22:22;197.42
11:22:57;196.11
11:23:32;201.34
11:24:07;202.65
11:24:42;206.57
11:25:17;217.04
11:25:52;223.58
11:26:27;236.66
11:27:02;235.35
11:27:37;245.81
11:28:12;256.28
11:28:47;256.28
11:29:22;262.82
11:29:57;270.67
11:30:32;285.05
11:31:07;286.36
11:31:42;304.67
11:32:17;359.61
11:32:52;426.32
11:33:27;496.95
11:34:02;516.57
11:34:37;353.07
11:35:12;343.91
11:35:47;342.61
11:36:22;343.91
11:36:57;367.46
11:37:32;419.78
11:38:07;411.93
11:38:42;578.05
11:39:17;587.2
11:39:52;596.36
11:40:27;597.67
11:41:02;601.59
11:41:37;602.9
11:42:12;588.51
11:42:47;583.28
11:43:22;576.74
11:43:57;572.81
11:44:32;572.81
11:45:07;545.35
11:45:42;549.27
11:46:17;541.42
11:46:52;546.65
11:47:27;532.27
11:48:02;517.88
11:48:37;510.03
11:49:12;512.65
11:49:47;498.26
11:50:22;496.95
11:50:57;499.57
11:51:32;477.33
11:52:07;473.41
11:52:42;504.8
11:53:17;472.1
11:53:52;392.31
11:54:27;298.13
11:55:02;287.67
11:55:37;290.29
11:56:12;302.06
11:56:47;332.14
11:57:22;321.68
11:57:57;317.75
11:58:32;349.15
11:59:07;385.77
11:59:42;322.99
12:00:17;504.8
12:00:52;375.31
12:01:27;513.95
12:02:02;519.19
12:02:37;377.92
12:03:12;545.35
12:03:47;533.57
12:04:22;571.51
12:04:57;589.82
12:05:32;587.2
12:06:07;600.28
12:06:42;486.49
12:07:17;575.43
12:07:52;468.17
12:08:27;597.67
12:09:02;479.95
12:09:37;547.96
12:10:12;405.39
12:10:47;517.88
12:11:22;534.88
12:11:57;376.61
12:12:32;364.84
12:13:07;341.3
12:13:42;337.37
12:14:17;579.35
12:14:52;316.45
12:15:27;302.06
12:16:02;262.82
12:16:37;299.44
12:17:12;307.29
12:17:47;319.06
12:18:22;363.53
12:18:57;481.25
12:19:32;615.98
12:20:07;685.3
12:20:42;648.68
12:21:17;524.42
12:21:52;506.11
12:22:27;520.49
12:23:02;563.66
12:23:37;578.05
12:24:12;656.53
12:24:47;789.94
12:25:22;640.83
12:25:57;759.86
12:26:32;621.21
12:27:07;703.61
12:27:42;490.41
12:28:17;766.4
12:28:52;711.46
12:29:27;622.52
12:30:02;564.97
12:30:37;557.12
12:31:12;472.1
12:31:47;417.16
12:32:22;417.16
12:33:32;377.92
12:34:07;380.54
12:34:42;380.54
12:35:17;464.25
12:35:52;379.23
12:36:27;351.76
12:37:02;343.91
12:37:37;342.61
12:38:12;347.84
12:38:47;379.23
12:39:22;354.38
12:39:57;396.23
12:40:32;402.77
12:41:07;332.14
12:41:42;506.11
12:42:17;457.71
12:42:52;422.39
12:43:27;393.62
12:44:02;362.23
12:45:12;401.47
12:45:47;408.01
12:46:22;510.03
12:46:57;559.73
12:47:32;400.16
12:48:07;448.55
12:48:42;704.92
12:49:17;646.06
12:49:52;449.86
12:50:27;642.14
12:51:02;346.53
12:51:37;336.07
12:52:12;336.07
12:52:47;347.84
12:53:22;343.91
12:53:57;329.53
12:54:32;316.45
12:55:07;309.91
12:55:42;330.83
12:56:17;356.99
12:56:52;435.47
12:57:27;540.11
12:58:02;485.18
12:58:37;503.49
12:59:12;406.7
12:59:47;511.34
13:00:22;383.15
13:00:57;392.31
13:01:32;634.29
13:02:07;699.69
13:02:42;799.1
13:03:17;791.25
13:03:52;779.48
13:04:27;776.86
13:05:02;783.4
13:05:37;571.51
13:06:12;530.96
13:06:47;783.4
13:07:22;775.55
13:07:57;779.48
13:08:32;778.17
13:09:07;769.01
13:09:42;769.01
13:10:17;763.78
13:10:52;758.55
13:11:27;750.7
13:12:02;725.85
13:12:37;723.23
13:13:13;723.45
13:13:47;724.54
13:14:22;723.23
13:14:57;708.85
13:15:32;729.77
13:16:07;324.29
13:16:42;504.8
13:17:17;673.53
13:17:52;738.93
13:18:27;735.01
13:19:02;721.93
13:19:37;694.46
13:20:12;638.21
13:20:47;559.73
13:21:22;377.92
13:21:57;251.05
13:22:32;240.58
13:23:07;226.19
13:23:42;215.73
13:24:17;210.5
13:24:52;209.19
13:25:27;207.88
13:26:02;206.57
13:26:37;214.42
13:27:12;210.5
13:27:47;209.19
13:28:22;218.35
13:28:57;230.12
13:29:32;279.82
13:30:07;554.5
13:30:42;604.21
13:31:17;601.59
13:31:52;600.28
13:32:27;566.27
13:33:02;532.27
13:33:37;568.89
13:34:12;631.67
13:34:47;622.52
13:35:22;631.67
13:35:57;668.3
13:36:32;732.39
13:37:07;682.69
13:37:42;757.24
13:38:17;754.63
13:38:52;737.62
13:39:27;762.47
13:40:02;776.86
13:40:37;791.25
13:41:12;793.87
13:41:47;810.87
13:42:22;814.79
13:42:57;818.72
13:43:32;829.18
13:44:07;831.8
13:44:42;847.49
13:45:17;758.55
13:45:52;673.53
13:46:27;644.75
13:47:02;652.6
13:47:37;520.49
13:48:12;770.32
13:48:47;610.75
13:49:22;695.77
13:49:57;745.47
13:50:32;837.03
13:51:07;787.33
13:51:42;716.69
13:52:17;683.99
13:52:52;720.62
13:53:27;711.46
13:54:02;838.34
13:54:37;673.53
13:55:12;678.76
13:55:47;504.8
13:56:22;494.33
13:56:57;421.09
13:57:32;410.62
13:58:07;414.55
13:58:42;380.54
13:59:17;384.46
13:59:52;411.93
14:00:27;394.93
14:01:02;417.16
14:01:37;478.64
14:02:12;562.35
14:02:47;557.12
14:03:22;517.88
14:03:57;506.11
14:04:32;461.63
14:05:07;447.25
14:05:42;442.01
14:06:17;485.18
14:06:52;351.76
14:07:27;464.25
14:08:02;445.94
14:08:37;240.58
14:09:12;231.43
14:09:47;234.04
14:10:22;236.66
14:10:57;243.2
14:11:32;249.74
14:12:07;341.3
