Hour;Irradiance
10:24:56;273.28
10:25:31;266.74
10:26:06;269.36
10:26:41;282.44
10:27:16;302.06
10:27:51;328.22
10:28:26;410.62
10:29:01;593.74
10:29:36;511.34
10:30:11;371.38
10:30:46;328.22
10:31:21;324.29
10:31:56;329.53
10:32:31;328.22
10:33:06;320.37
10:33:41;312.52
10:34:16;299.44
10:34:51;315.14
10:35:26;316.45
10:36:01;431.55
10:36:36;544.04
10:37:11;626.44
10:37:46;647.37
10:38:21;601.59
10:38:56;516.57
10:39:31;476.02
10:40:06;409.31
10:40:41;354.38
10:41:16;317.75
10:41:51;277.21
10:42:26;273.28
10:43:01;271.97
10:43:36;240.58
10:44:11;244.51
10:44:46;252.35
10:45:21;253.66
10:45:56;262.82
10:46:31;268.05
10:47:06;271.97
10:47:41;275.9
10:48:16;274.59
10:48:51;283.75
10:49:26;286.36
10:50:01;298.13
10:50:36;311.21
10:51:11;372.69
10:51:46;392.31
10:52:21;435.47
10:52:56;474.71
10:53:31;476.02
10:54:06;442.01
10:54:41;406.7
10:55:16;409.31
10:55:51;472.1
10:56:26;427.63
10:57:01;370.07
10:57:36;336.07
10:58:11;329.53
10:58:46;321.68
10:59:21;317.75
10:59:56;302.06
11:00:31;296.83
11:01:06;295.52
11:01:41;285.05
11:02:16;291.59
11:02:51;287.67
11:03:26;302.06
11:04:01;317.75
11:04:36;338.68
11:05:11;363.53
11:05:46;325.6
11:06:21;316.45
11:06:56;342.61
11:07:31;404.08
11:08:06;716.69
11:08:41;474.71
11:09:16;473.41
11:09:51;566.27
11:10:26;504.8
11:11:01;496.95
11:11:36;453.79
11:12:11;452.48
11:12:46;525.73
11:13:21;598.97
11:13:56;583.28
11:14:31;758.55
11:15:06;839.65
11:15:41;727.16
11:16:16;614.67
11:16:51;536.19
11:17:26;439.4
11:18:01;435.47
11:18:36;439.4
11:19:46;354.38
11:20:21;334.76
11:20:56;311.21
11:21:31;296.83
11:22:06;283.75
11:22:41;275.9
11:23:16;264.13
11:23:51;251.05
11:24:26;241.89
11:25:01;234.04
11:25:36;232.73
11:26:11;222.27
11:26:46;217.04
11:27:21;207.88
11:27:56;203.96
11:28:31;196.11
11:29:06;186.95
11:29:41;186.95
11:30:16;184.34
11:30:51;175.18
11:31:26;171.26
11:32:01;171.26
11:32:36;167.33
11:33:11;155.56
11:33:46;164.72
11:34:21;160.79
11:34:56;164.72
11:35:31;163.41
11:36:06;164.72
11:36:41;162.1
11:37:16;155.56
11:37:51;159.49
11:38:26;150.33
11:39:01;151.64
11:39:36;151.64
11:40:11;152.95
11:40:46;152.95
11:41:21;151.64
11:41:56;152.95
11:42:31;155.56
11:43:06;156.87
11:43:41;158.18
11:44:16;158.18
