Hour;Irradiance
10:05:44;324.29
10:06:19;324.29
10:06:54;342.61
10:07:29;343.91
10:08:04;338.68
10:08:39;337.37
10:09:15;347.84
10:09:51;330.83
10:10:26;325.6
10:11:01;321.68
10:11:36;319.06
10:12:11;328.22
10:12:46;315.14
10:13:21;316.45
10:13:56;336.07
10:14:31;338.68
10:15:06;360.92
10:15:41;339.99
10:16:17;342.61
10:16:52;372.69
10:17:27;355.69
10:18:02;362.23
10:18:37;291.59
10:19:12;273.28
10:19:47;296.83
10:20:22;517.88
10:20:58;271.97
10:21:34;251.05
10:22:09;231.43
10:22:44;240.58
10:23:19;296.83
10:23:54;326.91
10:24:29;286.36
10:25:04;304.67
10:25:39;406.7
10:26:14;406.7
10:26:49;442.01
10:27:24;413.24
10:27:59;436.78
10:28:34;406.7
10:29:09;387.08
10:29:44;415.85
10:30:19;420.52
10:30:54;356.99
10:31:29;389.69
10:32:04;349.15
10:32:40;366.15
10:33:16;346.53
10:33:51;337.37
10:34:26;336.07
10:35:01;346.53
10:35:36;368.77
10:36:11;362.23
10:36:46;343.91
10:37:21;346.53
10:37:56;345.22
10:38:31;349.15
10:39:06;337.37
10:39:42;337.37
10:40:17;394.93
10:40:52;345.22
10:41:27;334.76
10:42:02;360.92
10:42:37;389.69
10:43:12;555.81
10:43:47;547.96
10:44:23;615.98
10:44:59;442.01
10:45:34;408.01
10:46:09;418.47
10:46:44;438.09
10:47:19;349.15
10:47:54;371.38
10:48:29;362.23
10:49:04;392.31
10:49:39;486.49
10:50:14;277.21
10:50:49;285.05
10:51:24;530.96
10:51:59;561.04
10:52:34;487.79
10:53:09;455.09
10:53:44;670.91
10:54:19;542.73
10:54:54;649.99
10:55:29;714.08
10:56:04;784.71
10:56:39;780.79
10:57:14;761.17
10:57:49;774.25
10:58:24;782.09
10:58:59;775.55
10:59:34;788.63
11:00:09;799.1
11:00:44;799.1
11:01:19;813.49
11:01:54;805.64
11:02:29;805.64
11:03:04;792.56
11:03:39;786.02
11:04:14;782.09
11:04:49;716.69
11:05:24;694.46
11:05:59;639.52
11:06:34;555.81
11:07:09;576.74
11:07:44;519.19
11:08:19;499.57
11:08:54;506.11
11:09:29;530.96
11:10:04;541.42
11:10:39;527.03
11:11:14;596.36
11:11:49;619.9
11:12:24;703.61
11:12:59;680.07
11:13:34;721.93
11:14:09;715.39
11:14:44;733.7
11:15:19;792.56
11:15:54;742.85
11:16:29;796.48
11:17:04;787.33
11:17:39;708.85
11:18:14;746.78
11:18:49;772.94
11:19:24;779.48
11:19:59;724.54
11:20:35;601.59
11:21:11;653.91
11:21:46;727.16
11:22:21;817.41
11:22:56;820.03
11:23:31;912.89
11:24:06;928.59
11:24:41;923.36
11:25:16;899.81
11:25:51;830.49
11:26:26;895.89
11:27:01;935.13
11:27:36;812.18
11:28:11;625.13
11:28:46;574.12
11:29:21;596.36
11:29:56;477.33
11:30:31;495.64
11:31:06;520.49
11:31:41;561.04
11:32:17;530.96
11:32:53;572.81
